x,y,z
-0.384491,1.14916,-0.207501
-0.384363,1.150915,-0.208601
-0.384339,1.152576,-0.209807
-0.384334,1.154301,-0.210833
-0.384332,1.155952,-0.211923
-0.384281,1.157528,-0.212967
-0.384263,1.158999,-0.214117
-0.384168,1.16047,-0.215172
-0.384182,1.161855,-0.216208
-0.384157,1.163212,-0.217238
-0.384145,1.164636,-0.21829
-0.384097,1.165796,-0.219292
-0.384132,1.166987,-0.220277
-0.384126,1.168227,-0.221314
-0.384046,1.169308,-0.2222
-0.384054,1.170377,-0.223241
-0.384099,1.17142,-0.224204
-0.384064,1.17237,-0.225154
-0.384021,1.173281,-0.226049
-0.383956,1.174152,-0.226838
-0.384007,1.175063,-0.227943
-0.383994,1.175823,-0.228756
-0.383978,1.176606,-0.229667
-0.38397,1.177284,-0.23054
-0.383943,1.178044,-0.231571
-0.383901,1.178656,-0.232415
-0.383867,1.179243,-0.233297
-0.383863,1.17987,-0.234182
-0.383736,1.180349,-0.234992
-0.383756,1.180982,-0.235938
-0.383778,1.181529,-0.236824
-0.383722,1.182033,-0.237628
-0.383663,1.182458,-0.238494
-0.383662,1.182863,-0.239193
-0.383691,1.183332,-0.239981
-0.383664,1.183731,-0.240777
-0.383679,1.184219,-0.241456
-0.383667,1.184577,-0.242153
-0.383675,1.184932,-0.242776
-0.383649,1.185205,-0.243466
-0.383692,1.185595,-0.244105
-0.383688,1.185925,-0.244803
-0.383662,1.18621,-0.245526
-0.383708,1.186574,-0.246215
-0.383742,1.186926,-0.246872
-0.38373,1.187228,-0.247531
-0.383728,1.187551,-0.248212
-0.383751,1.187891,-0.248926
-0.38379,1.188255,-0.249646
-0.383787,1.188542,-0.250337
-0.383798,1.18885,-0.251075
-0.383823,1.189167,-0.251784
-0.383869,1.189445,-0.252455
-0.383866,1.189811,-0.253135
-0.383854,1.190081,-0.253843
-0.383828,1.190222,-0.254387
-0.383859,1.19041,-0.255028
-0.383918,1.190662,-0.255679
-0.383986,1.190893,-0.25641
-0.383996,1.190964,-0.256914
-0.383977,1.191112,-0.257506
-0.383958,1.191289,-0.258283
-0.383988,1.191436,-0.258729
-0.383983,1.191459,-0.259354
-0.383988,1.191542,-0.259984
-0.384011,1.191669,-0.260607
-0.384048,1.191875,-0.26121
-0.384056,1.191927,-0.261807
-0.38405,1.19205,-0.262391
-0.384038,1.192145,-0.262977
-0.384075,1.192345,-0.263703
-0.384162,1.192428,-0.264268
-0.384152,1.192468,-0.264715
-0.384158,1.192541,-0.26514
-0.3842,1.192678,-0.265822
-0.384216,1.192813,-0.26634
-0.384241,1.192835,-0.266922
-0.384279,1.192918,-0.267475
-0.384256,1.193061,-0.268117
-0.384271,1.193145,-0.268604
-0.384304,1.193258,-0.269134
-0.384348,1.193366,-0.269657
-0.384387,1.193406,-0.270233
-0.384394,1.193454,-0.270803
-0.384374,1.193595,-0.271443
-0.384457,1.193766,-0.271891
-0.384417,1.193887,-0.272422
-0.38446,1.194082,-0.272992
-0.384482,1.194243,-0.2735
-0.384486,1.194468,-0.27414
-0.384494,1.194574,-0.27476
-0.384521,1.194808,-0.275308
-0.384541,1.194955,-0.275849
-0.384605,1.195244,-0.276508
-0.38458,1.195397,-0.27698
-0.384607,1.195579,-0.277501
-0.384632,1.195742,-0.278026
-0.384621,1.195885,-0.278596
-0.384619,1.196025,-0.279197
-0.384646,1.196206,-0.279692
-0.384663,1.196374,-0.28012
-0.384708,1.196559,-0.280761
-0.384695,1.196783,-0.281325
-0.384711,1.196943,-0.281787
-0.384753,1.197072,-0.282277
-0.384784,1.197191,-0.282826
-0.384768,1.19726,-0.283396
-0.384773,1.197424,-0.283867
-0.384796,1.197698,-0.284471
-0.384851,1.197789,-0.284802
-0.384851,1.19797,-0.28527
-0.384876,1.198198,-0.285735
-0.384904,1.198388,-0.286124
-0.384916,1.198522,-0.286456
-0.384944,1.19875,-0.286843
-0.385053,1.19894,-0.287338
-0.385037,1.199044,-0.287631
-0.385054,1.199231,-0.287971
-0.385039,1.199374,-0.288321
-0.385054,1.199507,-0.288645
-0.385132,1.199754,-0.289086
-0.385157,1.199903,-0.289417
-0.385199,1.200058,-0.289768
-0.385244,1.200219,-0.290095
-0.385236,1.200338,-0.290437
-0.385259,1.200506,-0.29081
-0.38532,1.200861,-0.291316
-0.385233,1.200926,-0.29164
-0.385266,1.201031,-0.291926
-0.385275,1.201154,-0.292278
-0.385289,1.201238,-0.292628
-0.385314,1.201332,-0.293063
-0.385354,1.201433,-0.293505
-0.385332,1.201525,-0.293775
-0.38536,1.201709,-0.294227
-0.385361,1.201822,-0.294597
-0.38536,1.201987,-0.29494
-0.385327,1.20218,-0.295321
-0.385325,1.202373,-0.29567
-0.385312,1.202507,-0.295977
-0.385329,1.202663,-0.296366
-0.385337,1.202822,-0.29667
-0.385271,1.203043,-0.297017
-0.385214,1.203111,-0.297351
-0.385203,1.203268,-0.297645
-0.385237,1.20358,-0.298095
-0.385225,1.203754,-0.298403
