x,y,z
-0.329791,1.131619,-0.145602
-0.328773,1.134997,-0.145711
-0.327757,1.138294,-0.145839
-0.32673,1.141622,-0.146096
-0.325697,1.144892,-0.146175
-0.324676,1.148207,-0.146398
-0.323676,1.151405,-0.146597
-0.322643,1.154564,-0.146788
-0.321611,1.157789,-0.147074
-0.320575,1.16097,-0.147318
-0.31962,1.164024,-0.147476
-0.318641,1.167015,-0.147737
-0.317567,1.170042,-0.148123
-0.316556,1.173038,-0.148262
-0.31558,1.175989,-0.148391
-0.314585,1.178854,-0.148506
-0.313688,1.181859,-0.148898
-0.312675,1.184813,-0.1493
-0.31172,1.187639,-0.149432
-0.310776,1.190518,-0.149611
-0.309802,1.19332,-0.150002
-0.308825,1.196077,-0.15007
-0.308,1.198881,-0.150479
-0.306957,1.201548,-0.150684
-0.306075,1.204255,-0.15094
-0.305246,1.206934,-0.151138
-0.304345,1.209685,-0.151532
-0.303425,1.212234,-0.151839
-0.302576,1.214862,-0.152291
-0.301615,1.217479,-0.152427
-0.300851,1.220006,-0.153046
-0.299949,1.222568,-0.153335
-0.299095,1.225197,-0.153913
-0.298209,1.2276,-0.15405
-0.297465,1.230155,-0.154565
-0.296642,1.232612,-0.155065
-0.29588,1.235188,-0.155788
-0.29504,1.237477,-0.156225
-0.294246,1.23984,-0.156446
-0.293501,1.242184,-0.157096
-0.29271,1.2445,-0.157483
-0.291936,1.246742,-0.158211
-0.291198,1.248801,-0.158489
-0.290448,1.250909,-0.158745
-0.289781,1.252969,-0.159598
-0.289097,1.255053,-0.160053
-0.288478,1.257011,-0.160625
-0.287772,1.258823,-0.160908
-0.287134,1.260641,-0.161456
-0.286498,1.262452,-0.162028
-0.285926,1.264251,-0.16275
-0.285275,1.265838,-0.163389
-0.284719,1.26741,-0.163731
-0.284123,1.269013,-0.164522
-0.283537,1.270477,-0.165291
-0.283028,1.271886,-0.165804
-0.28241,1.273212,-0.166048
-0.28195,1.274533,-0.166795
-0.281553,1.275845,-0.167549
-0.281053,1.277005,-0.168101
-0.280639,1.278103,-0.168551
-0.280182,1.279078,-0.169013
-0.279764,1.279992,-0.169201
-0.279448,1.280972,-0.169746
-0.279094,1.281836,-0.170363
-0.278842,1.282698,-0.170807
-0.278557,1.283482,-0.171257
-0.278237,1.284239,-0.171732
-0.27791,1.284803,-0.171927
-0.277635,1.285376,-0.172424
-0.277389,1.285992,-0.173156
-0.277122,1.286624,-0.173582
-0.276891,1.287109,-0.174097
-0.27668,1.287479,-0.174627
-0.276431,1.28788,-0.175139
-0.276223,1.288196,-0.175587
-0.276026,1.288553,-0.176037
-0.275763,1.288809,-0.176724
-0.275643,1.28914,-0.177301
-0.275484,1.289439,-0.177751
-0.275314,1.289733,-0.178562
-0.275198,1.289878,-0.178949
-0.275109,1.290161,-0.179473
-0.275088,1.290473,-0.179951
-0.274986,1.29084,-0.180574
-0.274903,1.291211,-0.181208
-0.274784,1.291501,-0.181682
-0.274761,1.291702,-0.182017
-0.274743,1.292069,-0.182591
-0.274785,1.29237,-0.18295
-0.274749,1.292653,-0.183332
-0.274762,1.293014,-0.183927
-0.274766,1.29335,-0.184395
-0.274782,1.293716,-0.184763
-0.274804,1.294036,-0.185316
-0.274807,1.29439,-0.185698
-0.274866,1.294835,-0.186304
-0.274928,1.295133,-0.186489
-0.274973,1.295508,-0.186975
-0.274987,1.295956,-0.187651
-0.27503,1.296394,-0.188088
-0.275029,1.296817,-0.188521
-0.275032,1.297122,-0.188765
-0.275155,1.29759,-0.189484
-0.275226,1.29801,-0.189944
-0.275294,1.298369,-0.190328
-0.275329,1.298735,-0.190869
-0.27544,1.299138,-0.191272
-0.275523,1.299564,-0.1918
-0.27555,1.299927,-0.192237
-0.275627,1.300225,-0.192655
-0.275753,1.300602,-0.193261
-0.275851,1.30099,-0.193846
